Код ресурса,Наименование,Ед.изм.
25.94.12.190.59.1.25.03-2005-000,"Анкер клиновый для установки в растянутой и сжатой зоне бетона и природном камне с цинковым покрытием от 5 мкм и гальваническим покрытием, временное сопротивление стали растяжению более 70 кг/мм2, диаметр 16 мм, длина 145 мм",шт
25.94.12.190.59.1.25.03-2006-000,"Анкер клиновый для установки в растянутой и сжатой зоне бетона и природном камне с цинковым покрытием от 5 мкм и гальваническим покрытием, временное сопротивление стали растяжению более 70 кг/мм2, диаметр 20 мм, длина 195 мм",шт
25.94.12.190.59.1.25.03-2007-000,"Анкер клиновый для установки в растянутой и сжатой зоне бетона и природном камне с цинковым покрытием от 5 мкм и гальваническим покрытием, временное сопротивление стали растяжению более 70 кг/мм2, диаметр 24 мм, длина 220 мм",шт
25.94.12.190.59.1.25.03-2002-000,"Анкер клиновый для установки в растянутой и сжатой зоне бетона и природном камне с цинковым покрытием от 5 мкм и гальваническим покрытием, временное сопротивление стали растяжению более 70 кг/мм2, диаметр 8 мм, длина 95 мм",шт
25.94.12.190.59.1.25.03-2013-000,"Анкер клиновый для установки в сжатой зоне бетона и природном камне с цинковым покрытием от 45 мкм и гальваническим покрытием, временное сопротивление стали растяжению более 60 кг/мм2, диаметр 10 мм, длина 120 мм",шт
25.94.12.190.59.1.25.03-2014-000,"Анкер клиновый для установки в сжатой зоне бетона и природном камне с цинковым покрытием от 45 мкм и гальваническим покрытием, временное сопротивление стали растяжению более 60 кг/мм2, диаметр 12 мм, длина 125 мм",шт
25.94.12.190.59.1.25.03-2015-000,"Анкер клиновый для установки в сжатой зоне бетона и природном камне с цинковым покрытием от 45 мкм и гальваническим покрытием, временное сопротивление стали растяжению более 60 кг/мм2, диаметр 16 мм, длина 150 мм",шт
25.94.12.190.59.1.25.03-2009-000,"Анкер клиновый для установки в сжатой зоне бетона и природном камне с цинковым покрытием от 5 мкм и гальваническим покрытием, временное сопротивление стали растяжению более 60 кг/мм2, диаметр 10 мм, длина 120 мм",шт
25.94.12.190.59.1.25.03-2010-000,"Анкер клиновый для установки в сжатой зоне бетона и природном камне с цинковым покрытием от 5 мкм и гальваническим покрытием, временное сопротивление стали растяжению более 60 кг/мм2, диаметр 12 мм, длина 125 мм",шт
25.94.12.190.59.1.25.03-2011-000,"Анкер клиновый для установки в сжатой зоне бетона и природном камне с цинковым покрытием от 5 мкм и гальваническим покрытием, временное сопротивление стали растяжению более 60 кг/мм2, диаметр 16 мм, длина 150 мм",шт
25.94.12.190.59.1.25.03-2012-000,"Анкер клиновый для установки в сжатой зоне бетона и природном камне с цинковым покрытием от 5 мкм и гальваническим покрытием, временное сопротивление стали растяжению более 60 кг/мм2, диаметр 20 мм, длина 205 мм",шт
25.94.12.190.59.1.25.03-2008-000,"Анкер клиновый для установки в сжатой зоне бетона и природном камне с цинковым покрытием от 5 мкм и гальваническим покрытием, временное сопротивление стали растяжению более 60 кг/мм2, диаметр 8 мм, длина 60 мм",шт
25.11.23.119.08.4.01.01-0015-000,"Анкер клиновый стаканный, число канатов 19, марка АКС-19",компл
25.94.12.190.59.1.25.03-2017-000,"Анкер клиновый, из нержавеющей стали с высоким сопротивлением коррозии, для установки в растянутой и сжатой зоне бетона и природном камне, диаметр 8 мм, длина 75 мм",шт
25.94.11.190.59.1.08.04-0010-000,"Анкер концевой для анкеровки в железобетонных конструкциях арматурных стержней диаметром 12 мм, наружный диаметр 35 мм, длина 19 мм",шт
25.94.11.190.59.1.08.04-0011-000,"Анкер концевой для анкеровки в железобетонных конструкциях арматурных стержней диаметром 14 мм, наружный диаметр 35 мм, длина 22 мм",шт
25.94.11.190.59.1.08.04-0012-000,"Анкер концевой для анкеровки в железобетонных конструкциях арматурных стержней диаметром 16 мм, наружный диаметр 35 мм, длина 25 мм",шт
25.94.11.190.59.1.08.04-0013-000,"Анкер концевой для анкеровки в железобетонных конструкциях арматурных стержней диаметром 18 мм, наружный диаметр 40 мм, длина 30 мм",шт
25.94.11.190.59.1.08.04-0014-000,"Анкер концевой для анкеровки в железобетонных конструкциях арматурных стержней диаметром 20 мм, наружный диаметр 40 мм, длина 37 мм",шт
25.94.11.190.59.1.08.04-0015-000,"Анкер концевой для анкеровки в железобетонных конструкциях арматурных стержней диаметром 22 мм, наружный диаметр 45 мм, длина 39 мм",шт
25.94.11.190.59.1.08.04-0016-000,"Анкер концевой для анкеровки в железобетонных конструкциях арматурных стержней диаметром 25 мм, наружный диаметр 55 мм, длина 42 мм",шт
25.94.11.190.59.1.08.04-0017-000,"Анкер концевой для анкеровки в железобетонных конструкциях арматурных стержней диаметром 28 мм, наружный диаметр 55 мм, длина 44 мм",шт
25.94.11.190.59.1.08.04-0018-000,"Анкер концевой для анкеровки в железобетонных конструкциях арматурных стержней диаметром 32 мм, наружный диаметр 75 мм, длина 47 мм",шт
25.94.11.190.59.1.08.04-0019-000,"Анкер концевой для анкеровки в железобетонных конструкциях арматурных стержней диаметром 36 мм, наружный диаметр 75 мм, длина 54 мм",шт
25.94.11.190.59.1.08.04-0020-000,"Анкер концевой для анкеровки в железобетонных конструкциях арматурных стержней диаметром 40 мм, наружный диаметр 95 мм, длина 59 мм",шт
25.11.23.119.59.1.08.04-0001-000,"Анкер концевой типа МА, для закрепления и соединения напрягаемых арматурных элементов из 7 и 19 семипроволочных витых арматурных канатов,",шт
25.11.23.112.01.7.15.01-1183-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм",шт
25.11.23.112.01.7.15.01-1186-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3500 мм",шт
25.11.23.112.01.7.15.01-1188-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 4000 мм",шт
25.11.23.112.01.7.15.01-1190-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 4500 мм",шт
25.11.23.112.01.7.15.01-1192-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 5000 мм",шт
25.11.23.112.01.7.15.01-1194-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 5500 мм",шт
25.11.23.112.01.7.15.01-1196-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 6000 мм",шт
25.11.23.112.01.7.15.01-1198-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 250 кН, длина 3000 мм",шт
25.11.23.112.01.7.15.01-1200-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 250 кН, длина 3500 мм",шт
25.11.23.112.01.7.15.01-1202-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 250 кН, длина 4000 мм",шт
25.11.23.112.01.7.15.01-1204-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 250 кН, длина 4500 мм",шт
25.11.23.112.01.7.15.01-1206-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 250 кН, длина 5000 мм",шт
25.11.23.112.01.7.15.01-1208-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 250 кН, длина 5500 мм",шт
25.11.23.112.01.7.15.01-1210-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 250 кН, длина 6000 мм",шт
25.11.23.112.01.7.15.01-1212-000,"Анкер металлический фрикционный для шпура диаметром 43 мм, внешний диаметр 46 мм, размеры опорной пластины 200х200х6 мм, длина 1800 мм",компл
25.11.23.112.01.7.15.01-1214-000,"Анкер металлический фрикционный для шпура диаметром 43 мм, внешний диаметр 46 мм, размеры опорной пластины 200х200х6 мм, длина 2000 мм",компл
25.11.23.112.01.7.15.01-1216-000,"Анкер металлический фрикционный для шпура диаметром 43 мм, внешний диаметр 46 мм, размеры опорной пластины 200х200х6 мм, длина 2200 мм",компл
25.11.23.112.01.7.15.01-1218-000,"Анкер металлический фрикционный для шпура диаметром 43 мм, внешний диаметр 46 мм, размеры опорной пластины 200х200х6 мм, длина 2400 мм",компл
25.11.23.112.01.7.15.01-1220-000,"Анкер металлический фрикционный для шпура диаметром 43 мм, внешний диаметр 46 мм, размеры опорной пластины 200х200х6 мм, длина 2600 мм",компл
25.11.23.112.01.7.15.01-1222-000,"Анкер металлический фрикционный для шпура диаметром 43 мм, внешний диаметр 46 мм, размеры опорной пластины 200х200х6 мм, длина 2800 мм",компл
25.11.23.112.01.7.15.01-1224-000,"Анкер металлический фрикционный для шпура диаметром 43 мм, внешний диаметр 46 мм, размеры опорной пластины 200х200х6 мм, длина 3000 мм",компл
25.94.12.190.59.1.01.07-0844-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), из коррозионностойкой стали, диаметр 10 мм, длина 150 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 16,67/17,29 кН в бетоне В25, сейсмостойкость К1, К2, для атомной промышленности",шт
25.94.12.190.59.1.01.07-0845-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), из коррозионностойкой стали, диаметр 12 мм, длина 190 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 23,33/25,56 кН в бетоне В25, сейсмостойкость К1, К2, для атомной промышленности",шт
25.94.12.190.59.1.01.07-0846-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), из коррозионностойкой стали, диаметр 12 мм, длина 210 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 23,33/25,56 кН в бетоне В25, сейсмостойкость К1, К2, для атомной промышленности",шт
25.94.12.190.59.1.01.07-0847-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), из коррозионностойкой стали, диаметр 16 мм, длина 275 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 50,0/47,37 кН в бетоне В25, сейсмостойкость К1, К2, для атомной промышленности",шт
25.94.12.190.59.1.01.07-0848-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), из коррозионностойкой стали, диаметр 16 мм, длина 295 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 50,0/47,37 кН в бетоне В25, сейсмостойкость К1, К2, для атомной промышленности",шт
25.94.12.190.59.1.01.07-0849-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 10 мм, длина 106 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 10,67/33,44 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0850-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 10 мм, длина 121 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 10,67/33,44 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0851-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 10 мм, длина 141 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 10,67/33,44 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0852-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 10 мм, длина 150 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 16,67/17,6 кН в бетоне В25, сейсмостойкость К1, К2, для атомной промышленности",шт
25.94.12.190.59.1.01.07-0853-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 10 мм, длина 161 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 10,67/33,44 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0854-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 10 мм, длина 201 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 10,67/33,44 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0855-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 12 мм, длина 127 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 17,23/46,53 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0856-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 12 мм, длина 147 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 17,23/46,53 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0857-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 12 мм, длина 172 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 17,23/46,53 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0858-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 12 мм, длина 190 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 23,33/24,6 кН в бетоне В25, сейсмостойкость К1, К2, для атомной промышленности",шт
25.94.12.190.59.1.01.07-0859-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 12 мм, длина 192 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 17,23/46,53 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0860-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 12 мм, длина 210 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 23,33/24,6 кН в бетоне В25, сейсмостойкость К1, К2, для атомной промышленности",шт
25.94.12.190.59.1.01.07-0861-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 12 мм, длина 222 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 17,23/46,53 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0862-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 16 мм, длина 160 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 24,09/67,44 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0863-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 16 мм, длина 175 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 24,09/67,44 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0864-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 16 мм, длина 200 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 24,09/67,44 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0865-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 16 мм, длина 230 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 24,09/67,44 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0866-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 16 мм, длина 260 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 24,09/67,44 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0867-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 16 мм, длина 275 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 50,0/49,6 кН в бетоне В25, сейсмостойкость К1, К2, для атомной промышленности",шт
25.94.12.190.59.1.01.07-0868-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 16 мм, длина 295 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 50,0/49,6 кН в бетоне В25, сейсмостойкость К1, К2, для атомной промышленности",шт
25.94.12.190.59.1.01.07-0869-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 16 мм, длина 330 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 24,09/67,44 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0870-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 20 мм, длина 185 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 33,66/124,24 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0871-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 20 мм, длина 205 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 33,66/124,24 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0872-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 20 мм, длина 235 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 33,66/124,24 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0873-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 20 мм, длина 275 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 33,66/124,24 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0874-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 20 мм, длина 360 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 63,33/73,6 кН в бетоне В25, сейсмостойкость К1, К2, для атомной промышленности",шт
25.94.12.190.59.1.01.07-0875-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 20 мм, длина 410 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 63,33/73,6 кН в бетоне В25, сейсмостойкость К1, К2, для атомной промышленности",шт
25.94.12.190.59.1.01.07-0876-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 24 мм, длина 210 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 44,25/141,60 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0877-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 24 мм, длина 230 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 44,25/141,60 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0878-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 24 мм, длина 260 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 44,25/141,60 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0879-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 8 мм, длина 107 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 8,0/20,88 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0880-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 8 мм, длина 127 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 8,0/20,88 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0881-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 8 мм, длина 147 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 8,0/20,88 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0882-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 8 мм, длина 187 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 8,0/20,88 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0883-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 5 мкм, диаметр 8 мм, длина 92 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 8,0/20,88 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0884-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 50 мкм, диаметр 10 мм, длина 150 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 16,67/17,6 кН в бетоне В25, сейсмостойкость К1, К2, для атомной промышленности",шт
25.94.12.190.59.1.01.07-0885-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 50 мкм, диаметр 12 мм, длина 190 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 23,33/24,6 кН в бетоне В25, сейсмостойкость К1, К2, для атомной промышленности",шт
25.94.12.190.59.1.01.07-0886-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 50 мкм, диаметр 12 мм, длина 210 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 23,33/24,6 кН в бетоне В25, сейсмостойкость К1, К2, для атомной промышленности",шт
25.94.12.190.59.1.01.07-0887-000,"Анкер механический с контролем момента затяжки (предварительного монтажа), класс стали 8.8, с цинковым покрытием 50 мкм, диаметр 16 мм, длина 275 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 50,0/49,6 кН в бетоне В25, сейсмостойкость К1, К2, для атомной промышленности",шт
25.94.12.190.59.1.01.07-0890-000,"Анкер механический с контролем момента затяжки (распорный), из коррозионностойкой кислотоупорной стали, диаметр 10 мм, длина 130 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 6,0/16,0 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0891-000,"Анкер механический с контролем момента затяжки (распорный), из коррозионностойкой кислотоупорной стали, диаметр 10 мм, длина 90 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 6,0/16,0 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0892-000,"Анкер механический с контролем момента затяжки (распорный), из коррозионностойкой кислотоупорной стали, диаметр 12 мм, длина 115 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 8,0/24,0 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0893-000,"Анкер механический с контролем момента затяжки (распорный), из коррозионностойкой кислотоупорной стали, диаметр 12 мм, длина 145 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 8,0/24,0 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0894-000,"Анкер механический с контролем момента затяжки (распорный), из коррозионностойкой кислотоупорной стали, диаметр 16 мм, длина 140 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 16,67/44,0 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0895-000,"Анкер механический с контролем момента затяжки (распорный), из коррозионностойкой кислотоупорной стали, диаметр 16 мм, длина 165 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 16,67/44,0 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0889-000,"Анкер механический с контролем момента затяжки (распорный), из коррозионностойкой кислотоупорной стали, диаметр 8 мм, длина 115 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 3,33/10,4 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0888-000,"Анкер механический с контролем момента затяжки (распорный), из коррозионностойкой кислотоупорной стали, диаметр 8 мм, длина 75 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 3,33/10,4 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0896-000,"Анкер механический с контролем момента затяжки (распорный), из нержавеющей стали А2, диаметр 10 мм, длина 83 мм, для бетона без трещин, расчетная нагрузка на вырыв/сдвиг 11,96/18,08 кН в бетоне В25",шт
25.94.12.190.59.1.01.07-0897-000,"Анкер механический с контролем момента затяжки (распорный), из нержавеющей стали А2, диаметр 12 мм, длина 100 мм, для бетона без трещин, расчетная нагрузка на вырыв/сдвиг 17,73/23,44 кН в бетоне В25",шт
25.94.12.190.59.1.01.07-0898-000,"Анкер механический с контролем момента затяжки (распорный), из нержавеющей стали А2, диаметр 12 мм, длина 115 мм, для бетона без трещин, расчетная нагрузка на вырыв/сдвиг 17,73/23,44 кН в бетоне В25",шт
25.94.12.190.59.1.01.07-0899-000,"Анкер механический с контролем момента затяжки (распорный), из нержавеющей стали А2, диаметр 16 мм, длина 137 мм, для бетона без трещин, расчетная нагрузка на вырыв/сдвиг 33,84/68,20 кН в бетоне В25",шт
25.94.12.190.59.1.01.07-0908-000,"Анкер механический с контролем момента затяжки (распорный), из нержавеющей стали А4, диаметр 10 мм, длина 110 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 9,33/20,24 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0909-000,"Анкер механический с контролем момента затяжки (распорный), из нержавеющей стали А4, диаметр 10 мм, длина 113 мм, для бетона без трещин, расчетная нагрузка на вырыв/сдвиг 11,96/18,08 кН в бетоне В25",шт
25.94.12.190.59.1.01.07-0910-000,"Анкер механический с контролем момента затяжки (распорный), из нержавеющей стали А4, диаметр 10 мм, длина 130 мм, для бетона с трещинами и без трещин, расчетная нагрузка на вырыв/сдвиг 9,33/20,24 кН в бетоне В25, сейсмостойкость К1, К2",шт
25.94.12.190.59.1.01.07-0911-000,"Анкер механический с контролем момента затяжки (распорный), из нержавеющей стали А4, диаметр 10 мм, длина 153 мм, для бетона без трещин, расчетная нагрузка на вырыв/сдвиг 11,96/18,08 кН в бетоне В25",шт
